
| Student_ID | Name | Gender | Age | Department | Attendance (%) | Marks | City |
|-----------|-------|------|----|-----|----|----|------------|
| **ST001** | Priya | Male | 23 | EEE | 75 | 63 | Vijayawada |
| **ST002** | Priya | Male | 22 | MECH | 62 | 38 | Hyderabad |
| **ST003** | Sneha | Male | 22 | CIVIL | 61 | 60 | Visakhapatnam |
| **ST004** | Rohit | Female | 19 | MECH | 97 | 70 | Hyderabad |
| **ST005** | Arjun | Female | 20 | EEE | 69 | 62 | Guntur |
| **ST006** | Priya | Male | 21 | CSE | 82 | 79 | Bangalore |
| **ST007** | Kiran | Male | 23 | MECH | 94 | 50 | Chennai |
| **ST008** | Priya | Female | 24 | CIVIL | 83 | 59 | Visakhapatnam |
| **ST009** | Priya | Male | 23 | ECE | 78 | 45 | Vijayawada |
| **ST010** | Priya | Female | 20 | MECH | 100 | 81 | Vijayawada |
| **ST011** | Anjali | Female | 19 | EEE | 64 | 56 | Bangalore |
| **ST012** | Sneha | Male | 21 | MECH | *N/A* | 63 | Visakhapatnam |
| **ST013** | Anjali | Male | 19 | CSE | 80 | 86 | Guntur |
| **ST014** | Priya | Male | 22 | EEE | 73 | 98 | Chennai |
| **ST015** | Pooja | Male | 20 | ECE | *N/A* | 68 | Visakhapatnam |
| **ST016** | Kavya | Female | 22 | MECH | 83 | 63 | Vijayawada |
| **ST017** | Rohit | Female | *N/A* | CSE | 67 | 54 | Visakhapatnam |
| **ST018** | Arjun | Female | 22 | CSE | 84 | 83 | Bangalore |
| **ST019** | Pooja | Female | 22 | CSE | 67 | 69 | Visakhapatnam |
| **ST020** | Anjali | Male | 20 | MECH | 70 | 93 | Hyderabad |
| **ST021** | Kiran | Male | 22 | *N/A* | 100 | 73 | Visakhapatnam |
| **ST022** | Rohit | Male | 19 | EEE | *N/A* | 35 | Bangalore |
| **ST023** | Anjali | Female | 18 | CSE | 83 | 74 | Vijayawada |
| **ST024** | Rahul | Male | *N/A* | CSE | 65 | 97 | Hyderabad |
| **ST025** | Rohit | Male | 19 | MECH | 95 | 56 | Guntur |
